名字,上限,状态ID,描述
普攻回动能,3,1077936187,<color=#ba7920>悬浮普通攻击</color>命中具有<color=#ff8844>易爆</color>的敌人时，获得(1/2/3)<color=#ffff66>动能</color>。
动能回血,3,1077936188,消耗<color=#ffff66>动能</color>时还会恢复(1/2/3)倍的生命值。
超载回动能,3,1077936189,触发超载反应时，获得(1/2/3)<color=#ffff66>动能</color>。
R技能护盾,3,1077936190,使用<color=#ba7920>R技能</color>时，获得(15%/30%/45%)最大生命值的护盾。
Q技能回动能,3,1077936191,使用<color=#ba7920>Q技能</color>召唤装置时，返还(5/9/12)点动能。
E技能减抗,3,1077936192,<color=#ba7920>E技能</color>还会降低敌人(25%/50%/75%)雷元素抗性。
超载给战意,3,1077936193,"触发超载反应时,获得(1/2/3)层<color=#ff5555>战意</color>。"
双刀上易爆,3,1077936194,<color=#ba7920>双刀普通攻击</color>第三段命中时施加(2/3/4)层易爆。
装置加伤害,3,1077936195,装置的攻击具有<color=#ff8844>易爆</color>的敌人时额外造成(50%/100%/150%)伤害。
装置加攻速,3,1077936196,装置的攻击速度提升(50%/100%/150%)。
