名字,上限,状态ID,描述
火雷回符文,3,1077936210,使出<color=#ff9999>火元素</color>咒语或<color=#ffacff>雷元素</color>咒语会返还(1/2/3)个符文。
水草回符文,3,1077936211,使出<color=#80c0ff>水元素</color>咒语或<color=#99ff88>草元素</color>咒语会返还(1/2/3)个符文。
风岩回符文,3,1077936212,使出<color=#80ffd7>风元素</color>咒语或<color=#ffe699>岩元素</color>咒语会返还(1/2/3)个符文。
火元素强化,3,1077936217,造成的<color=#ff9999>火元素</color>伤害提升(20%/40%/60%)。
水元素强化,3,1077936206,<color=#80c0ff>水元素</color>咒语伤害提升(20%/40%/60%)。
雷元素强化,3,1077936216,造成的<color=#ffacff>雷元素</color>伤害提升(20%/40%/60%)。
草元素强化,3,1077936207,<color=#99ff88>草元素</color>草元素</color>咒语伤害提升(20%/40%/60%)。
风元素强化,3,1077936208,<color=#80ffd7>风元素</color>咒语的持续时间增加(2/4/6)秒。
岩元素强化,3,1077936209,<color=#ffe699>岩元素</color>咒语提供的护盾量提升(15%/30%/45%)。
禁咒强化,3,1077936226,释放禁咒时受到的伤害降低50%，伤害提升(20%/40%/60%)。
